"","State","County","Census_Pop_2020","Population_Estimate_2023","Births_2023","Deaths_2023"
"266","CO","Elbert County",26062,28806,263,219
"267","CO","El Paso County",730395,744215,9147,5702
"268","CO","Fremont County",48939,50318,351,676
"269","CO","Garfield County",61685,62707,714,412
"270","CO","Gilpin County",5808,5926,48,41
"271","CO","Grand County",15717,15935,121,103
"272","CO","Gunnison County",16918,17321,134,85
"273","CO","Hinsdale County",788,765,4,5
"274","CO","Huerfano County",6820,7055,40,135
"275","CO","Jackson County",1379,1309,6,13
"276","CO","Jefferson County",582910,576366,5493,4997
"277","CO","Kiowa County",1446,1384,20,21
"278","CO","Kit Carson County",7087,6994,93,95
"279","CO","Lake County",7436,7365,85,46
"280","CO","La Plata County",55638,56407,414,455
"281","CO","Larimer County",359066,370771,3094,2638
"282","CO","Las Animas County",14555,14348,111,243
"283","CO","Lincoln County",5675,5480,52,69
"284","CO","Logan County",21528,20619,192,270
"285","CO","Mesa County",155703,159681,1454,1780
"286","CO","Mineral County",865,944,7,11
"287","CO","Moffat County",13292,13327,135,113
"288","CO","Montezuma County",25849,26531,240,357
"289","CO","Montrose County",42679,44156,395,542
"290","CO","Morgan County",29111,29524,407,303
"291","CO","Otero County",18690,18136,203,279
"292","CO","Ouray County",4874,5176,32,40
"293","CO","Park County",17390,18117,138,132
"294","CO","Phillips County",4530,4476,51,70
"295","CO","Pitkin County",17358,16640,130,68
"296","CO","Prowers County",11999,11751,142,135
"297","CO","Pueblo County",168162,169422,1646,2232
"298","CO","Rio Blanco County",6529,6569,58,70
"299","CO","Rio Grande County",11539,11188,121,168
"300","CO","Routt County",24829,25064,206,137
"301","CO","Saguache County",6368,6688,61,76
"302","CO","San Juan County",705,802,6,7
"303","CO","San Miguel County",8072,7868,48,35
"304","CO","Sedgwick County",2404,2299,14,40
"305","CO","Summit County",31055,30465,262,89
"306","CO","Teller County",24710,24617,179,243
"307","CO","Washington County",4817,4855,52,66
"308","CO","Weld County",328981,359442,4658,2286
"309","CO","Yuma County",9988,9862,134,102
"310","DE","Kent County",181851,189789,2153,2169
"311","DE","New Castle County",570719,578592,6080,5527
"312","DE","Sussex County",237378,263509,2492,3201
"313","DC","District of Columbia",689545,678972,7627,5020
"314","DC","District of Columbia",689545,678972,7627,5020
"315","DC","District of Columbia",689545,678972,7627,5020
"316","DC","District of Columbia",689545,678972,7627,5020
"317","DC","District of Columbia",689545,678972,7627,5020
"318","DC","District of Columbia",689545,678972,7627,5020
"319","DC","District of Columbia",689545,678972,7627,5020
"320","DC","District of Columbia",689545,678972,7627,5020
"321","DC","District of Columbia",689545,678972,7627,5020
"322","DC","District of Columbia",689545,678972,7627,5020
"323","DC","District of Columbia",689545,678972,7627,5020
"324","DC","District of Columbia",689545,678972,7627,5020
"325","DC","District of Columbia",689545,678972,7627,5020
"326","DC","District of Columbia",689545,678972,7627,5020
"327","DC","District of Columbia",689545,678972,7627,5020
"328","DC","District of Columbia",689545,678972,7627,5020
"329","FL","Alachua County",278468,285994,2679,2249
"330","FL","Baker County",28259,28368,354,345
"331","FL","Bay County",175216,190769,2127,2188
"332","FL","Bradford County",28303,27858,306,367
"333","FL","Brevard County",606612,643979,5217,8261
"334","FL","Broward County",1944375,1962531,21028,16483
"335","FL","Calhoun County",13648,13470,138,225
"336","FL","Charlotte County",186847,206134,1095,3103
"337","FL","Citrus County",153843,166696,1045,3149
"338","FL","Clay County",218245,232439,2303,2355
"339","FL","Collier County",375752,404310,3388,4166
"340","FL","Columbia County",69698,73063,751,1045
"341","FL","DeSoto County",33976,35979,409,435
"342","FL","Dixie County",16759,17465,156,285
"343","FL","Duval County",995567,1030822,12873,9766
"344","FL","Escambia County",321905,326928,3761,4012
"345","FL","Flagler County",115378,131439,874,1695
"346","FL","Franklin County",12451,12594,88,188
"347","FL","Gadsden County",43826,43833,486,605
"348","FL","Gilchrist County",17864,19587,209,260
"349","FL","Glades County",12126,12786,72,162
"350","FL","Gulf County",14192,15693,113,242
"351","FL","Hamilton County",14004,13471,167,207
"352","FL","Hardee County",25327,25760,361,328
"353","FL","Hendry County",39619,43333,562,412
"354","FL","Hernando County",194515,212807,1649,3199
"355","FL","Highlands County",101235,107614,870,1907
"356","FL","Hillsborough County",1459762,1535564,17429,12440
"357","FL","Holmes County",19653,19944,229,320
